,date_extracted,date_published,direction,road,status
0,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
1,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
2,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
3,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
4,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
5,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
6,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
7,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
8,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
9,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
10,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,ML
11,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,ML
12,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
13,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
14,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
15,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
16,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
17,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
18,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,ML
19,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,ML
20,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
21,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
22,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,SB,COMMONWEALTH,L
23,2015-11-22 04:30:03+08:00,2015-11-22 03:39:09+08:00,NB,COMMONWEALTH,L
24,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
25,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,L
26,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,ML
27,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,ML
28,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
29,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,L
30,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
31,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,L
32,2015-11-22 04:30:03+08:00,2015-11-22 03:39:12+08:00,SB,ORTIGAS,ML
33,2015-11-22 04:30:03+08:00,2015-11-22 03:39:12+08:00,NB,ORTIGAS,ML
34,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
35,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,L
36,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
37,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,L
38,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
39,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,L
40,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
41,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,L
42,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
43,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,NB,ORTIGAS,L
44,2015-11-22 04:30:03+08:00,2015-11-22 03:13:03+08:00,SB,ORTIGAS,L
